Release 14.7 - par P.20131013 (lin64)
Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

Wed May 22 04:31:47 2024


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       reg1_map.ncd
OUTPUT FILE:      reg1_pad.txt
PART TYPE:        xc7vx330t
SPEED GRADE:      -2
PACKAGE:          ffg1157

Pinout by Pin Number:

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name    |Pin Usage|Pin Name                    |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|A1        |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|A2        |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|A3        |               |OPAD     |MGTHTXN3_118                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|A4        |               |OPAD     |MGTHTXP3_118                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|A5        |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|A6        |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|A7        |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|A8        |               |IOB18S   |IO_L1N_T0_39                |UNUSED   |           |39            |          |         |           |         |         |          |           |                |
|A9        |               |IOB18M   |IO_L1P_T0_39                |UNUSED   |           |39            |          |         |           |         |         |          |           |                |
|A10       |               |IOB18S   |IO_L2N_T0_39                |UNUSED   |           |39            |          |         |           |         |         |          |           |                |
|A11       |               |IOB18M   |IO_L2P_T0_39                |UNUSED   |           |39            |          |         |           |         |         |          |           |                |
|A12       |               |         |VCCO_38                     |         |           |38            |          |         |           |         |1.80     |          |           |                |
|A13       |data_out_2<3>  |IOB      |IO_L21N_T3_DQS_38           |OUTPUT   |LVCMOS18*  |38            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
